                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.87266,                 1.2855,                 1.2009,                0.71496,                0.46584,                0.53959,                0.41531,                0.77274,                 1.4246,                  1.206,              0.0010032,              0.0010032,              0.0010032
                     52,                0.85874,                 1.2345,                 1.2303,                0.72557,                0.41256,                0.52763,                0.41442,                0.77288,                 2.1475,                 1.1656,               0.001001,               0.001001,               0.001001
                     53,                0.84691,                 1.2748,                   1.21,                0.65066,                0.55849,                0.54951,                0.41346,                    0.9,                 1.4756,                 1.3067,             0.00099881,             0.00099881,             0.00099881
                     54,                0.83566,                 1.2507,                 1.2007,                0.70072,                0.45153,                0.56851,                0.43508,                0.80553,                  1.866,                 1.2154,             0.00099661,             0.00099661,             0.00099661
                     55,                0.82536,                 1.1588,                 1.2092,                0.66793,                0.50901,                0.59455,                0.46092,                0.75291,                  1.668,                 1.1622,             0.00099441,             0.00099441,             0.00099441
                     56,                 0.8543,                 1.1901,                 1.2274,                0.63656,                0.56744,                  0.529,                0.41286,                0.78442,                 1.7447,                 1.1825,             0.00099221,             0.00099221,             0.00099221
                     57,                0.89261,                 1.2354,                 1.2494,                0.60401,                0.53018,                0.52145,                0.41434,                0.77414,                 1.4713,                 1.1658,             0.00099001,             0.00099001,             0.00099001
                     58,                0.85796,                 1.2155,                 1.2066,                0.64444,                0.51409,                 0.5277,                0.41185,                0.78673,                 1.7106,                 1.1984,             0.00098781,             0.00098781,             0.00098781
                     59,                0.80945,                 1.1559,                 1.1808,                0.64503,                0.55931,                0.53973,                0.42159,                0.78792,                 1.5972,                 1.2127,             0.00098561,             0.00098561,             0.00098561
                     60,                 0.8044,                 1.1642,                 1.1694,                0.67902,                0.59693,                0.54138,                0.42982,                0.75204,                 1.2175,                 1.1397,             0.00098341,             0.00098341,             0.00098341
                     61,                0.85315,                 1.1896,                 1.2212,                0.66726,                0.42655,                0.48268,                0.36794,                0.84719,                 1.7495,                  1.234,             0.00098121,             0.00098121,             0.00098121
                     62,                0.81165,                 1.1271,                 1.1883,                0.60703,                0.51217,                0.56465,                0.42919,                0.79717,                 1.6719,                 1.1707,             0.00097901,             0.00097901,             0.00097901
                     63,                0.81113,                 1.1216,                 1.1784,                0.64284,                0.50826,                0.52282,                0.40148,                 0.8194,                 1.7536,                 1.2178,             0.00097681,             0.00097681,             0.00097681
