                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,F1 Score
87,0.64741,0.61414,1.1373,0.79015,0.68021,0.75356,0.59648,0.79978,0.78716,1.2842,0.008317,0.008317,0.008317,0.7310698488805464
88,0.64082,0.60788,1.1365,0.71817,0.70944,0.72501,0.57844,0.77514,0.78202,1.2573,0.0082972,0.0082972,0.0082972,0.7137783075209615
89,0.64144,0.60075,1.1236,0.78454,0.65123,0.74737,0.59215,0.79192,0.80113,1.2784,0.0082774,0.0082774,0.0082774,0.711696141025373
90,0.63568,0.59058,1.1207,0.77686,0.68169,0.75028,0.59228,0.79577,0.83336,1.2781,0.0082576,0.0082576,0.0082576,0.7261700913921361
91,0.63059,0.59041,1.1232,0.73419,0.71935,0.75986,0.60424,0.78691,0.79789,1.2763,0.0082378,0.0082378,0.0082378,0.7266942450844146
92,0.62721,0.58646,1.1267,0.76901,0.69779,0.75232,0.59569,0.80556,0.79269,1.2834,0.008218,0.008218,0.008218,0.7316709679574583
93,0.63537,0.59382,1.1263,0.74276,0.69613,0.74435,0.59227,0.77554,0.78362,1.2617,0.0081982,0.0081982,0.0081982,0.7186894325487007
94,0.63118,0.59053,1.1287,0.70099,0.72175,0.74689,0.59386,0.77549,0.81619,1.2681,0.0081784,0.0081784,0.0081784,0.7112185395785596
95,0.62761,0.57785,1.126,0.76339,0.6794,0.7409,0.59054,0.77988,0.79763,1.2695,0.0081586,0.0081586,0.0081586,0.71895031986637
96,0.63341,0.58517,1.1142,0.73426,0.70961,0.75855,0.60712,0.76779,0.78254,1.2542,0.0081388,0.0081388,0.0081388,0.7217245854543691
97,0.61791,0.57269,1.1089,0.74654,0.70541,0.75425,0.60539,0.76698,0.77602,1.2568,0.008119,0.008119,0.008119,0.7253924465718516
98,0.61363,0.5631,1.1074,0.75789,0.69819,0.73967,0.58911,0.78233,0.77328,1.2663,0.0080992,0.0080992,0.0080992,0.7268161352398219
99,0.62847,0.57344,1.1088,0.75086,0.7295,0.75378,0.59796,0.77457,0.76912,1.2552,0.0080794,0.0080794,0.0080794,0.7400258991056229
100,0.62742,0.57683,1.1121,0.77464,0.69521,0.76095,0.60452,0.78041,0.77967,1.2755,0.0080596,0.0080596,0.0080596,0.7327788201517161
101,0.62442,0.56269,1.1142,0.77197,0.71339,0.75927,0.59596,0.78043,0.78416,1.2721,0.0080398,0.0080398,0.0080398,0.7415248536381752
102,0.613,0.55044,1.112,0.73794,0.68099,0.73488,0.58508,0.7754,0.82044,1.2717,0.00802,0.00802,0.00802,0.7083221309014539
103,0.60666,0.55804,1.1057,0.71455,0.71093,0.74324,0.59011,0.78674,0.81039,1.2728,0.0080002,0.0080002,0.0080002,0.7127354035132026
104,0.6127,0.55231,1.1054,0.7749,0.66635,0.75192,0.59626,0.7994,0.7962,1.2793,0.0079804,0.0079804,0.0079804,0.7165371934084995
105,0.60763,0.55443,1.0925,0.82934,0.65758,0.76158,0.60021,0.78896,0.81453,1.2763,0.0079606,0.0079606,0.0079606,0.7335396621203562
106,0.59621,0.55286,1.0998,0.78324,0.66112,0.74562,0.58931,0.77794,0.81106,1.2731,0.0079408,0.0079408,0.0079408,0.7170174039713092
107,0.60391,0.55771,1.0989,0.7318,0.70836,0.74398,0.58923,0.78809,0.79917,1.2811,0.007921,0.007921,0.007921,0.7198892456393733
108,0.60513,0.55177,1.0996,0.74416,0.67734,0.73546,0.58443,0.78972,0.81388,1.2804,0.0079012,0.0079012,0.0079012,0.7091795067182555
