                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.87365,                 1.2601,                 1.2329,                0.62396,                0.50928,                0.52454,                0.41443,                0.77894,                 1.4177,                 1.1539,               0.001001,               0.001001,               0.001001
                     53,                0.85843,                 1.2549,                 1.2278,                0.55279,                0.61961,                0.48367,                0.37225,                0.78524,                 1.6495,                 1.2032,             0.00099881,             0.00099881,             0.00099881
                     54,                0.83449,                 1.2512,                 1.2116,                 0.5783,                0.60254,                0.49526,                0.39248,                0.76192,                 1.7389,                 1.1584,             0.00099661,             0.00099661,             0.00099661
                     55,                0.81729,                  1.166,                 1.2116,                0.60772,                0.43275,                0.45299,                0.33826,                 0.9069,                 1.6228,                 1.3353,             0.00099441,             0.00099441,             0.00099441
                     56,                0.86707,                 1.2401,                 1.2359,                0.60226,                0.58604,                0.55727,                0.43819,                0.78578,                 1.4754,                 1.1782,             0.00099221,             0.00099221,             0.00099221
                     57,                 0.8763,                  1.232,                  1.252,                0.68015,                0.46674,                0.42171,                0.31682,                0.87599,                 1.8514,                 1.3364,             0.00099001,             0.00099001,             0.00099001
                     58,                0.84371,                 1.2081,                 1.2107,                0.81993,                0.44711,                0.55091,                0.43559,                0.77795,                  1.664,                 1.1485,             0.00098781,             0.00098781,             0.00098781
                     59,                0.82544,                 1.1641,                  1.212,                0.72589,                0.49631,                0.55851,                0.45449,                0.75764,                 1.4762,                 1.1356,             0.00098561,             0.00098561,             0.00098561
                     60,                 0.8141,                 1.1653,                 1.1809,                0.71211,                 0.4371,                0.55139,                0.46503,                0.70328,                 1.3417,                 1.1106,             0.00098341,             0.00098341,             0.00098341
                     61,                0.85137,                 1.1891,                  1.219,                0.73164,                 0.4823,                 0.6086,                0.46525,                0.81284,                 1.4648,                 1.2294,             0.00098121,             0.00098121,             0.00098121
                     62,                0.80922,                 1.1434,                 1.2052,                  0.647,                0.44765,                0.46575,                0.36133,                0.80151,                 1.8512,                  1.211,             0.00097901,             0.00097901,             0.00097901
                     63,                0.80849,                 1.1529,                 1.1883,                0.66212,                 0.5346,                0.54609,                0.43587,                0.73686,                 1.5453,                 1.1339,             0.00097681,             0.00097681,             0.00097681
                     64,                0.81334,                 1.1248,                 1.1987,                0.75477,                 0.3727,                0.42807,                0.31879,                 1.0549,                 1.6547,                 1.5778,             0.00097461,             0.00097461,             0.00097461
                     65,                0.82587,                  1.177,                 1.2069,                0.70455,                 0.4835,                0.56254,                0.44076,                0.77559,                  1.556,                 1.1581,             0.00097241,             0.00097241,             0.00097241
                     66,                0.82681,                 1.1363,                 1.2098,                0.75012,                0.49031,                0.50136,                0.39627,                0.75101,                  1.551,                 1.1566,             0.00097021,             0.00097021,             0.00097021
