                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.74911,                0.79453,                 1.2071,                 0.6844,                0.71655,                 0.7356,                0.56727,                 0.8089,                0.84313,                 1.2893,              0.0090892,              0.0090892,              0.0090892
                     49,                0.72768,                0.75601,                 1.2055,                0.75067,                0.69033,                0.74591,                0.59075,                0.78599,                0.81271,                 1.2726,              0.0090694,              0.0090694,              0.0090694
                     50,                0.73527,                0.76223,                 1.2028,                0.74369,                0.72404,                0.75173,                 0.5819,                0.80132,                0.79916,                 1.2946,              0.0090496,              0.0090496,              0.0090496
                     51,                0.71714,                0.75536,                 1.1998,                0.70904,                 0.6824,                0.73201,                0.57006,                0.79858,                0.84488,                  1.284,              0.0090298,              0.0090298,              0.0090298
                     52,                0.72718,                0.75155,                 1.2038,                0.74497,                0.67812,                0.73552,                 0.5764,                0.78919,                 0.8194,                 1.2829,                0.00901,                0.00901,                0.00901
                     53,                0.71817,                0.74479,                 1.1929,                0.73483,                 0.6811,                0.74643,                 0.5857,                0.79172,                 0.8056,                 1.2837,              0.0089902,              0.0089902,              0.0089902
                     54,                0.71358,                0.74139,                  1.193,                0.78747,                0.68959,                 0.7531,                0.59218,                 0.7934,                0.79093,                 1.2778,              0.0089704,              0.0089704,              0.0089704
                     55,                0.70506,                0.72201,                 1.1772,                0.74265,                0.69553,                0.73777,                0.58254,                0.79258,                0.79606,                 1.2879,              0.0089506,              0.0089506,              0.0089506
                     56,                0.71863,                0.72782,                    1.2,                0.73807,                0.67702,                0.73958,                0.58292,                0.80318,                0.83356,                 1.2741,              0.0089308,              0.0089308,              0.0089308
                     57,                0.71386,                0.71824,                 1.1962,                0.77251,                0.67927,                0.73712,                0.57455,                  0.798,                 0.8051,                 1.2895,               0.008911,               0.008911,               0.008911
                     58,                 0.7124,                0.70374,                 1.1909,                0.70069,                0.72334,                 0.7411,                  0.586,                0.79549,                 0.8184,                  1.276,              0.0088912,              0.0088912,              0.0088912
                     59,                0.69266,                0.70282,                 1.1835,                0.72864,                0.71193,                0.74411,                0.58887,                0.79157,                0.81958,                 1.2752,              0.0088714,              0.0088714,              0.0088714
                     60,                0.69363,                0.69512,                 1.1805,                0.75754,                0.73026,                0.76845,                0.60051,                0.79948,                0.78078,                 1.2817,              0.0088516,              0.0088516,              0.0088516
                     61,                 0.7047,                0.69098,                 1.1901,                 0.7864,                0.70999,                0.76554,                0.60147,                0.79751,                0.77867,                 1.2766,              0.0088318,              0.0088318,              0.0088318
                     62,                0.69673,                0.69515,                 1.1757,                0.73028,                0.70171,                0.74828,                0.59279,                0.78732,                0.83124,                 1.2735,               0.008812,               0.008812,               0.008812
                     63,                0.68826,                0.70055,                   1.18,                0.73954,                0.67484,                0.73427,                0.57756,                0.79878,                0.81638,                 1.2782,              0.0087922,              0.0087922,              0.0087922
                     64,                0.68334,                0.67929,                 1.1713,                0.76703,                0.68136,                0.74283,                0.58548,                0.79652,                0.81784,                 1.2691,              0.0087724,              0.0087724,              0.0087724
                     65,                0.69928,                0.68437,                 1.1751,                0.78141,                 0.6852,                0.75344,                0.58975,                 0.8029,                0.78131,                 1.2906,              0.0087526,              0.0087526,              0.0087526
                     66,                0.68224,                0.68022,                 1.1642,                0.78871,                0.67845,                0.74104,                0.58373,                0.80191,                 0.7987,                 1.2823,              0.0087328,              0.0087328,              0.0087328
                     67,                0.68018,                0.66783,                 1.1633,                0.80049,                0.64441,                0.74647,                0.58492,                0.79671,                0.79319,                 1.2838,               0.008713,               0.008713,               0.008713
                     68,                0.68021,                0.66203,                 1.1581,                0.76514,                0.68392,                0.74485,                0.58674,                0.80864,                0.79549,                   1.29,              0.0086932,              0.0086932,              0.0086932
                     69,                0.67396,                0.63913,                 1.1519,                0.77187,                0.71834,                0.76251,                0.60326,                0.79461,                0.80703,                 1.2763,              0.0086734,              0.0086734,              0.0086734
