                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                  0.747,                0.91026,                 1.1274,                 0.6802,                0.59294,                0.58048,                0.46273,                0.75319,                 1.3433,                 1.1481,               0.001001,               0.001001,               0.001001
                     53,                0.75533,                0.92191,                 1.1331,                0.72279,                0.51109,                0.58125,                0.46558,                0.74617,                 1.2963,                 1.1249,             0.00099881,             0.00099881,             0.00099881
                     54,                0.72638,                0.89917,                 1.1063,                0.47328,                0.54524,                0.55409,                 0.4409,                0.70722,                 1.1867,                 1.0801,             0.00099661,             0.00099661,             0.00099661
                     55,                0.73913,                0.87203,                 1.1408,                0.44026,                0.55982,                0.54691,                0.44199,                0.75567,                 1.3886,                 1.1404,             0.00099441,             0.00099441,             0.00099441
                     56,                0.74207,                0.92931,                 1.1421,                0.73399,                0.49608,                0.56369,                0.44929,                0.76266,                 1.0813,                 1.1411,             0.00099221,             0.00099221,             0.00099221
                     57,                0.75872,                0.90065,                 1.1385,                0.73899,                0.48424,                0.54734,                0.44865,                0.74791,                 1.6533,                   1.14,             0.00099001,             0.00099001,             0.00099001
                     58,                0.72656,                0.89349,                 1.1132,                0.51905,                 0.6221,                0.57763,                0.46824,                0.74409,                  1.211,                 1.1241,             0.00098781,             0.00098781,             0.00098781
                     59,                0.71364,                0.82611,                 1.1177,                0.70867,                0.53642,                0.57942,                 0.4598,                0.76337,                 1.1146,                 1.1584,             0.00098561,             0.00098561,             0.00098561
                     60,                0.73036,                0.86993,                 1.0998,                0.43956,                0.66461,                0.53522,                 0.4235,                0.76877,                 2.2236,                 1.1493,             0.00098341,             0.00098341,             0.00098341
                     61,                0.73123,                0.84113,                 1.1148,                 0.7382,                0.52315,                0.55731,                0.44134,                0.76639,                 1.6088,                 1.1314,             0.00098121,             0.00098121,             0.00098121
                     62,                0.72197,                0.83034,                 1.1205,                0.75487,                0.52035,                0.56045,                0.43499,                0.74729,                 1.7591,                 1.1182,             0.00097901,             0.00097901,             0.00097901
                     63,                0.69872,                0.82664,                 1.0964,                 0.5748,                0.69022,                 0.6354,                0.49055,                0.77131,                 1.3141,                  1.154,             0.00097681,             0.00097681,             0.00097681
                     64,                0.73106,                0.79985,                 1.1214,                0.43016,                 0.6641,                0.53246,                0.41361,                0.77865,                 1.3137,                 1.1622,             0.00097461,             0.00097461,             0.00097461
                     65,                0.71529,                0.88114,                 1.1043,                0.44453,                0.57232,                0.55361,                0.42052,                0.86983,                 1.4009,                 1.2876,             0.00097241,             0.00097241,             0.00097241
                     66,                0.70837,                0.82335,                 1.1056,                0.67346,                0.51012,                0.54326,                 0.4261,                0.71424,                 1.7042,                 1.1078,             0.00097021,             0.00097021,             0.00097021
                     67,                0.70109,                0.84039,                 1.0976,                0.45851,                0.51992,                0.51469,                0.38629,                0.80773,                 1.8523,                 1.1767,             0.00096801,             0.00096801,             0.00096801
                     68,                0.71955,                0.85258,                 1.1072,                0.62327,                0.53263,                0.52319,                0.42744,                0.70358,                 1.2385,                 1.0879,             0.00096581,             0.00096581,             0.00096581
                     69,                  0.688,                0.78218,                 1.0851,                0.51129,                0.63585,                0.56517,                0.45778,                0.69839,                 1.1132,                 1.0683,             0.00096361,             0.00096361,             0.00096361
                     70,                0.68997,                0.79237,                 1.0992,                0.48459,                0.57585,                0.56118,                0.45059,                0.73526,                 1.1174,                 1.1197,             0.00096141,             0.00096141,             0.00096141
                     71,                0.71822,                0.78897,                 1.1167,                 0.6938,                0.57152,                0.56287,                0.44295,                0.73002,                 1.3238,                 1.1175,             0.00095922,             0.00095922,             0.00095922
                     72,                0.69528,                0.79713,                 1.0818,                0.55113,                0.53921,                0.58246,                0.45159,                  0.741,                 1.2582,                  1.102,             0.00095702,             0.00095702,             0.00095702
                     73,                0.68137,                0.77789,                 1.0878,                0.53689,                 0.5571,                0.59997,                0.46785,                 0.7239,                 1.4855,                 1.0883,             0.00095482,             0.00095482,             0.00095482
                     74,                0.70461,                0.78376,                 1.1014,                0.59772,                0.53716,                0.53188,                0.42348,                0.75532,                 1.1692,                 1.1469,             0.00095262,             0.00095262,             0.00095262
                     75,                0.68865,                0.76392,                 1.0856,                0.40485,                 0.5081,                 0.5102,                0.41355,                0.75568,                  1.364,                 1.1328,             0.00095042,             0.00095042,             0.00095042
                     76,                0.67432,                0.73247,                 1.0791,                0.62419,                0.50925,                0.56366,                0.45241,                0.68074,                   1.19,                 1.0509,             0.00094822,             0.00094822,             0.00094822
