                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,F1 Score
74,0.71251,0.69292,1.1198,0.71793,0.65866,0.73232,0.56898,0.83541,0.87684,1.2487,0.0085744,0.0085744,0.0085744,0.6870190453221366
75,0.70326,0.68689,1.1085,0.73561,0.67872,0.73592,0.5696,0.83668,0.86316,1.2483,0.0085546,0.0085546,0.0085546,0.706020828519511
76,0.70873,0.67627,1.1108,0.71488,0.70514,0.74086,0.57007,0.85305,0.84221,1.2635,0.0085348,0.0085348,0.0085348,0.7099765963859663
77,0.71509,0.68374,1.1158,0.71195,0.69191,0.72389,0.55535,0.84933,0.8789,1.2536,0.008515,0.008515,0.008515,0.7017869652244526
78,0.70079,0.68097,1.1083,0.78796,0.65929,0.74528,0.575,0.84342,0.85545,1.2411,0.0084952,0.0084952,0.0084952,0.7179051973052342
79,0.70236,0.66882,1.1113,0.6833,0.6979,0.71417,0.55348,0.86218,0.89957,1.263,0.0084754,0.0084754,0.0084754,0.6905228352157544
80,0.70439,0.69246,1.1122,0.79894,0.63556,0.73859,0.56297,0.85141,0.87349,1.2536,0.0084556,0.0084556,0.0084556,0.7079460528407111
81,0.69662,0.66013,1.1054,0.75808,0.68541,0.74136,0.57214,0.83832,0.86389,1.2429,0.0084358,0.0084358,0.0084358,0.7199157774560268
82,0.69235,0.67225,1.1059,0.73298,0.70711,0.74195,0.57438,0.83032,0.85302,1.2387,0.008416,0.008416,0.008416,0.7198126336548409
83,0.69658,0.64749,1.1024,0.74667,0.67201,0.73645,0.56537,0.83367,0.84127,1.2403,0.0083962,0.0083962,0.0083962,0.7073754570445766
84,0.69019,0.65091,1.1013,0.78131,0.65725,0.73714,0.57343,0.84266,0.87969,1.2402,0.0083764,0.0083764,0.0083764,0.7139305937882328
85,0.6921,0.65771,1.104,0.70207,0.73037,0.74367,0.56955,0.84615,0.86557,1.2496,0.0083566,0.0083566,0.0083566,0.7159404455334953
86,0.6885,0.6467,1.1,0.73815,0.69143,0.73007,0.56515,0.84391,0.85533,1.2508,0.0083368,0.0083368,0.0083368,0.7140265735390814
87,0.68333,0.6589,1.1056,0.73103,0.67634,0.73434,0.56432,0.84074,0.84538,1.2549,0.008317,0.008317,0.008317,0.7026223810369696
88,0.68145,0.64096,1.0986,0.76349,0.66036,0.73867,0.56808,0.8419,0.86179,1.2512,0.0082972,0.0082972,0.0082972,0.7081901273308283
89,0.68648,0.65012,1.0978,0.71615,0.69091,0.73785,0.56913,0.84237,0.84955,1.2624,0.0082774,0.0082774,0.0082774,0.7033036210254004
90,0.67416,0.63905,1.0947,0.7473,0.68977,0.75366,0.58098,0.84472,0.86128,1.2579,0.0082576,0.0082576,0.0082576,0.7173834552248674
91,0.66911,0.63034,1.0896,0.76574,0.66758,0.7447,0.58194,0.83429,0.8573,1.2426,0.0082378,0.0082378,0.0082378,0.713298787709653
92,0.67247,0.62594,1.0943,0.75075,0.68806,0.74074,0.57507,0.82335,0.85934,1.2321,0.008218,0.008218,0.008218,0.7180392755124025
93,0.68502,0.64479,1.0962,0.7602,0.66366,0.743,0.57944,0.81661,0.85316,1.2332,0.0081982,0.0081982,0.0081982,0.7086572162993554
94,0.676,0.63369,1.098,0.73299,0.68111,0.73905,0.57034,0.83027,0.86544,1.2453,0.0081784,0.0081784,0.0081784,0.7060983224665865
95,0.6692,0.62321,1.0973,0.71006,0.71508,0.73258,0.56749,0.82569,0.8514,1.2374,0.0081586,0.0081586,0.0081586,0.7125611586230125
96,0.67641,0.62709,1.0899,0.73656,0.70105,0.74347,0.57059,0.83275,0.85711,1.2525,0.0081388,0.0081388,0.0081388,0.718366438742079
97,0.66581,0.63002,1.0907,0.76806,0.65536,0.73024,0.56456,0.82926,0.87545,1.2418,0.008119,0.008119,0.008119,0.7072484601874359
98,0.65605,0.60576,1.0827,0.71743,0.70204,0.73232,0.56719,0.82909,0.85695,1.25,0.0080992,0.0080992,0.0080992,0.7096515702339606
99,0.67153,0.62402,1.0875,0.72891,0.6949,0.72141,0.56135,0.84425,0.89172,1.2599,0.0080794,0.0080794,0.0080794,0.7114988081274888
100,0.67116,0.61496,1.0875,0.71518,0.68552,0.73525,0.57245,0.83749,0.87442,1.2471,0.0080596,0.0080596,0.0080596,0.7000359728707075
101,0.66872,0.62426,1.0864,0.72762,0.67918,0.73534,0.56875,0.82414,0.85122,1.2483,0.0080398,0.0080398,0.0080398,0.7025660386693204
102,0.66186,0.60265,1.0842,0.75316,0.67435,0.73964,0.57625,0.83973,0.85517,1.2525,0.00802,0.00802,0.00802,0.7115795279892961
103,0.6542,0.60754,1.0811,0.76721,0.67296,0.72738,0.56362,0.84938,0.88921,1.2595,0.0080002,0.0080002,0.0080002,0.7170009673857947
104,0.65766,0.61049,1.0882,0.7094,0.70034,0.72869,0.5649,0.83727,0.8776,1.2536,0.0079804,0.0079804,0.0079804,0.7048408869720658
105,0.65417,0.60217,1.0808,0.75256,0.69302,0.73488,0.57075,0.84369,0.86011,1.25,0.0079606,0.0079606,0.0079606,0.7215638445468254
106,0.65188,0.60251,1.0815,0.78189,0.64687,0.72661,0.56423,0.83646,0.89834,1.2458,0.0079408,0.0079408,0.0079408,0.7080002019933368
107,0.64743,0.60766,1.0797,0.75235,0.66633,0.7367,0.57201,0.83723,0.88781,1.2466,0.007921,0.007921,0.007921,0.7067321390306482
108,0.65253,0.59815,1.0774,0.75462,0.66258,0.7337,0.56626,0.82726,0.87095,1.2277,0.0079012,0.0079012,0.0079012,0.705611232853514
